"","ID","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","COMMENTS","CREATED_BY_USER_ID","CREATED_DATETIME","MODIFIED_BY_USER_ID","MODIFIED_DATETIME","REF_WADS_PROGRAM_ID","REF_WADS_DEPARTMENT_ID","IS_ACTIVE","IS_MANUAL_ENTRY_ALLOWED"
"11",14,"1022","Maritime Garbage Disposal, Entries ","Record the number of garbage removals from vessels. This activity code is paired with activity code 1023.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:30:12.0000000",1,2,TRUE,TRUE
"12",15,"1023","Maritime Garbage Disposal, Weight","Record the weight in kilograms of garbage removed from vessels. Weight on commercial disposal may be obtained from the weight ticket given to the truck driver at the scales when the driver exits from the disposal facility. See code 1022.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:30:33.0000000",1,2,TRUE,TRUE
"13",16,"1024","Maritime Violations, Reported To USCG","Record the number of MARPOL violations reported to the US Coast Guard. Source document is the PPQ 288.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:30:53.0000000",1,2,TRUE,TRUE
"14",18,"1030","All Direct Foreign Arrival Aircraft","Record the total number of all commercial, private, and military direct foreign arriving aircraft, including gas and goes.  Exclude all pre-cleared flights.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-02-22 12:09:49.0000000",2,2,TRUE,TRUE
"15",19,"1031","Commercial Passenger Aircraft Inspections","Record the number of commercial passenger aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.   
",NA,0,"2011-12-05 15:24:53.0000000",0,"2010-10-21 12:57:23.0000000",2,2,TRUE,TRUE
"16",20,"1032","Commercial Cargo Aircraft Inspections","Record the number of commercial cargo aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2010-10-21 12:57:57.0000000",2,2,TRUE,TRUE
"17",21,"1033","Inspections, Other Aircraft ","Record the number of noncommercial aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.  Include in this category private, corporate, and military aircraft. 
",NA,0,"2011-12-05 15:24:53.0000000",0,"2010-10-21 12:59:02.0000000",2,2,TRUE,TRUE
"18",22,"1037","Airport QMIs Plant- Baggage","Record the number of plant QMIs intercepted from passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-02-22 12:24:57.0000000",2,2,TRUE,TRUE
"19",23,"1045","Airport Baggage Civil Penalties Passenger/Crew","Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-02-22 12:59:53.0000000",2,2,TRUE,TRUE
"20",24,"1048","Treatments, Air Cargo, Fumigation","Report the number fumigations performed on cargo shipments within the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. Note: If one stack contains five airway bills, it is still only one fumigation. A chamber fumigation may contain more than one airway bill, but it is only one fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-25 07:29:11.0000000",45,1,TRUE,TRUE
"21",25,"1049","Airport Cargo/Conveyance Treatments, Non-Fumigation","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-02-22 13:06:47.0000000",2,2,TRUE,TRUE
"22",28,"1052","Airport Passenger/Crew Secondary Inspections","Record the actual number of passengers / crew referred to secondary for inspection.  Record actual counts only; do not record estimates or formula calculations.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-08-07 07:05:08.0000000",2,2,TRUE,TRUE
"23",30,"1060","Land Border Passenger Vehicles Entering","Record the total number of passenger vehicles entering through land border crossings.  Include POVs, motorcycles, RVs etc. making entry through passenger processing.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-13 06:12:40.0000000",3,2,TRUE,TRUE
"24",31,"1061","Land Border Pedestrians Entering ","Record the total number of pedestrians entering at the border crossings. 
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-13 06:15:55.0000000",3,2,TRUE,TRUE
"25",32,"1062","Land Border Secondary, Vehicles inspected ","Record the number of agricultural inspections performed on vehicles in secondary.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-13 06:19:27.0000000",3,2,TRUE,TRUE
"26",34,"1064","Land border pedestrians inspected","Record the number of land border pedestrians  inspected in secondary by agriculture.",NA,0,"2011-12-05 15:24:53.0000000",0,"2010-01-26 07:21:26.0000000",3,2,TRUE,TRUE
"27",35,"1065","Land Border Freight Railcars Inspected","Record the number of freight railcars physically inspected by agriculture to specifically include exterior inspections and /or interior inspections of empty railcars.  Do not include interior inspections that correspond with contained cargo.  Those inspections will be included with cargo inspections and are recorded under 1067D or 1068D.",NA,0,"2011-12-05 15:24:53.0000000",0,"2011-02-15 11:31:19.0000000",3,2,TRUE,TRUE
"28",37,"1069","Land Border Civil Penalties Passenger/Pedestrian (CBP-AI Form 591)","Record the number of passenger/pedestrian civil penalties issued.  This would include civil penalties issued to bus and truck drivers for having undeclared prohibited agricultural items for personal use.  Source document is CBP-AI form 591.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-13 06:36:16.0000000",3,2,TRUE,TRUE
"29",43,"1083","Land Border Treatments, Carriers (Other than Rail Cargo)","Record the number of carrier treatments conducted. Do not count rail car cleaning. NOTE; Refusal of a truck carrying produce that was contaminated with soil or manure would count as a treatment.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-16 22:23:30.0000000",3,2,TRUE,TRUE
"30",44,"1084","Treatments, Land Border Cargo, Fumigation","Report the number of fumigations conducted on cargo within the regular hours of service. The APHIS 8030 or 429 Form that is filled out for each stack or the chart associated with a chamber fumigation would be the source document for each fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-25 07:38:23.0000000",45,1,TRUE,TRUE
"31",45,"1085","Land Border Treatments, Cargo, Not Fumigated","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-16 22:24:16.0000000",3,2,TRUE,TRUE
"32",47,"1090","Inspections, Domestic Aircraft ","Report the number of aircraft inspected in pre departure services.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-11-06 15:05:15.0000000",39,1,TRUE,TRUE
"33",48,"1091","Inspections, Domestic Air Passenger/Crew ","Report the number of passenger and crew processed through the airport whether actual physical inspection of their baggage was or was not conducted.",NA,0,"2011-12-05 15:24:53.0000000",0,"2004-12-21 09:53:52.0000000",39,1,TRUE,TRUE
"34",49,"1092","Inspections, Regulated Cargo, Airport ","Report by air waybill the number of inspections conducted during regular hours of service on regulated cargo. Includes irradiated and hot water treated commodities.",NA,0,"2011-12-05 15:24:53.0000000",0,"2011-08-15 09:24:22.0000000",39,1,TRUE,TRUE
"35",50,"1093","Inspections, Miscellaneous. Cargo, Airport","Report by airway bill the number of inspections of miscellaneous cargo conducted during the regular hours of service. Note: If a regulated item is found during a miscellaneous inspection, that cargo is considered regulated. This is for Pre-Departure cargo only",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-11-10 11:26:48.0000000",39,1,TRUE,TRUE
"36",51,"1094","Pre-Clearance Inspections, Aircraft","Record the number of aircraft inspected under the Pre-Clearance program (i.e. Non-US origin including Caribbean islands, Canadian ports, etc.)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 09:55:37.0000000",41,2,TRUE,TRUE
"37",52,"1102","Cargo Treatments","Report the number of cargo treatments performed during the regular hours of service. Note: Include cleaning and disinfection of vehicles; removing regulated items; fumigation for export commodities both foreign and to the mainland, etc.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-11-06 14:59:07.0000000",39,1,FALSE,TRUE
"38",53,"1103","Violations, Domestic Mail","Report the number of violations (PPQ518) issued from domestic mail inspections",NA,0,"2011-12-05 15:24:53.0000000",0,"2007-04-02 12:10:29.0000000",39,1,TRUE,TRUE
"39",54,"1104","Pre-Clearance Civil Penalty Passenger/Crew","Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591), under the Pre-Clearance program (i.e. Non-US origin including Caribbean islands, Canadian ports, etc.)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 10:08:21.0000000",41,2,TRUE,TRUE
"40",55,"1110","Shipments Of Endangered Species ","Report the number of endangered species shipments which arrived from airport, maritime, or land border services and were inspected. A shipment is one bill of lading, airway bill, or the amount carried in baggage with each custom declaration. Each variety does not count as a separate shipment. This code is paired with activity code 1111. Examples include two airway bills of cacti arriving from Mexico; three bills of lading containing orchids plants from Thailand; an entry of cycads arriving by truck at Brownsville.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-04-15 08:59:48.0000000",5,1,TRUE,TRUE
"41",56,"1111","Units Of Endangered Plants ","Report the number of plant units (cuttings, whole plants, propagative units (other than seed)) that were in the endangered species shipments reported under activity code 1110.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-04-15 09:00:16.0000000",5,1,TRUE,TRUE
"42",57,"1114","Quarantine-Pest (PIS Only)","Report the number of quarantine pests intercepted at the inspection station during the month. Information supplied by identifiers.",NA,0,"2011-12-05 15:24:53.0000000",0,"2025-02-22 04:36:40.0000000",5,1,TRUE,TRUE
"43",60,"1122","Certificates, Vs16-4, Animal Byproducts ","Report the number of VS 16-4 forms (Export Certificate - Animal Products) issued.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-04-15 09:07:52.0000000",6,1,TRUE,TRUE
"44",61,"1124","Endangered Plants, Export, Awbs Or B/Ls ","Report the number of endangered species plant shipments inspected for export. Units are AWBs or B/Ls. This code is paired with activity code 1125 and 1125A.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-03-30 07:57:52.0000000",6,1,TRUE,TRUE
"45",62,"1125","Endangered Plants, Units","Report the number of endangered species plant units inspected for export. Note:  If the shipment is dried ginseng, use one as the number of plant units inspected for each shipment being exported.  See code 1124. If other any other gels or preparations can not be individually counted, the unit of measure is 1 for this code.",NA,0,"2011-12-05 15:24:55.0000000",0,"2009-11-25 06:49:29.0000000",6,1,TRUE,TRUE
"46",63,"1126","Import Shipments W/ Endangered Plant","Report the number of shipments containing parts or derivatives (of plant endangered species) inspected for import. These are nonliving CITES materials.  Inspectional units are airway bills (AWB) or bills of lading (BL) or truck entries. Example would be mahogany lumber.  This code is paired with code 1126A.",NA,0,"2011-12-05 15:24:53.0000000",0,"2005-04-27 11:33:21.0000000",9,2,TRUE,TRUE
"47",66,"1130","USPS Mail Packages Inspected (including parcel post and express)","Record the number of USPS mail packages (parcel post and express) which have been physically opened and inspected for agricultural purposes. Packages that have been x-rayed only are recorded under code 1137.",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-12 03:37:17.0000000",42,2,TRUE,TRUE
"48",67,"1131","USPS Mail Plant QMIs (including parcel post and express)","Record the number of plant interceptions from USPS mail inspections (parcel post and express).  Source document is PPQ form 287.",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-12 03:37:17.0000000",42,2,TRUE,TRUE
"49",70,"1134O","USPS Mail QMIs Other Meat Byproducts (including parcel post and express)","USPS Mail Other Animal Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption).  Record the number of ‘other animal’ byproduct interceptions that are not classified as avian, swine, or ruminant from USPS mail inspections (parcel post and express).  Examples would include equine or other unidentifiable animal byproduct.  Source document is PPQ form 287.",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-12 03:37:17.0000000",42,2,TRUE,TRUE
"50",73,"1137","USPS Mail Packages X-Rayed (including parcel post and express)","Report the number of mail packages (parcel post and express) x-rayed.",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-12 03:37:17.0000000",42,2,TRUE,TRUE
"51",74,"1138","USPS Mail Violations PPQ 518 (including parcel post and express)","Record the number of USPS mail violations (parcel post and express) issued. Source document is the PPQ518 and CBP AI 518.",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-12 03:37:17.0000000",42,2,TRUE,TRUE
"52",77,"1152","Clean/Disinfect Footwear","Clean/Disinfect Footwear: Record the number of pairs of footwear cleaned/disinfected to prevent animal diseases.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-04-14 13:06:10.0000000",8,2,TRUE,TRUE
"53",78,"1153","Clean/Disinfect Aircraft","Clean/Disinfect Aircraft:  Record the number of aircraft that have been cleaned and disinfected to prevent animal diseases.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-05 21:23:54.0000000",8,2,TRUE,TRUE
"54",79,"1154","Clean/Disinfect Other","Clean/Disinfect Other:  Record the number of conveyances, containers, equipment, or other fomites that were cleaned/disinfected to prevent animal diseases.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-05 21:25:30.0000000",8,2,TRUE,TRUE
"55",80,"1155","Animal Product Import Certificates Reviewed","Animal Product Import Certificates Reviewed:  Record the number of Animal Product Import Certificates reviewed.  These certificates are required to support the entry requirements of the particular imported product into or through the U.S.  Examples: 1) Foreign meat certificate, 2) Veterinary certificate, 3) Animal casing certificate; and 4) Health certificate.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-05 21:26:36.0000000",8,2,TRUE,TRUE
"56",81,"1160","Post Entry  Field Inspections","Report the number of follow-up site inspections of post entry materials. This does not include initial inspections of post entry materials at inspections stations. That is recorded under 1112.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-11-10 11:50:54.0000000",9,1,TRUE,TRUE
"57",84,"1163","Emergency Action Orders (Form 523)","Report the number of emergency action orders, PPQ form 523, issued. (SITC users - use code under SITC pathway)",NA,0,"2011-12-05 15:24:53.0000000",0,"2004-02-18 09:08:27.0000000",9,1,TRUE,TRUE
"58",85,"1165","CITES Violations/Non-Compliance Incidents","Report the number of incidents that involve propagative CITES material that resulted in forfeiture or other corrective action to comply with CITES requirements. This may include obtaining a CITES permit, re-exportation, seizure, or transport to a Rescue Center.",NA,0,"2011-12-05 15:24:53.0000000",0,"2004-04-29 07:26:58.0000000",9,1,TRUE,TRUE
"59",88,"1172","Inland QMIs Plant","Record the number of plant QMIs intercepted from all inland inspections.  Note: Three different fruits would count as three interceptions. Three oranges seized out of one container would count as one interception.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 10:10:28.0000000",11,2,TRUE,TRUE
"60",89,"1173","Inland QMIs Meat/Poultry /Dairy","Record the number of meat/poultry/dairy interceptions found incidental in inland cargo inspection.  These are products  classified as dairy, avian, swine, or ruminant. Do not include plant-based milk",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-11 08:02:27.0000000",11,2,TRUE,TRUE
"61",91,"1175","Inland Total Meat/Poultry/Dairy Byproducts QMIs","Record the number of meat/poultry/dairy animal byproduct interceptions from inland cargo inspection. This number is for animal byproduct interceptions incidental to the cargo inspection, not the cargo itself.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 10:24:00.0000000",11,2,TRUE,TRUE
"62",94,"1178","Inland Violations (Form 518)","Record the number of inland violations issued for containerized cargo. Include violations issued for unauthorized movement of regulated cargo. The source document is the PQ518
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 10:26:40.0000000",11,2,TRUE,TRUE
"63",95,"1179","Treatments, Inland Inspection  Cargo, Fumigation","Report the number of fumigations performed per shipment as defined by bill of lading.  Source is PPQ Form 429.",NA,0,"2011-12-05 15:24:53.0000000",0,"2010-05-28 09:40:46.0000000",45,1,TRUE,TRUE
"64",96,"1180","Inland Cargo/Conveyance Treatments, Non-Fumigation","Record the number of non-fumigation treatments performed in/on/with inland cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 10:27:08.0000000",11,2,TRUE,TRUE
"65",97,"6341","Commerce QMIs, Plant","Record the number of plant material interceptions (QMIs) from market, distributor, and related follow-up inspections (retail or wholesale). This includes all plant material requiring action (seizure, treatment, re-export).",NA,0,"2011-12-05 15:24:53.0000000",0,"2006-09-22 08:21:32.0000000",12,1,TRUE,TRUE
"66",98,"6342","Commerce QMIs, Plant, Weight","Record the estimated weight of the plant material interceptions from market, distributor, and related follow-up inspections in kilograms.",NA,0,"2011-12-05 15:24:53.0000000",0,"2011-02-07 08:58:33.0000000",12,1,TRUE,TRUE
"67",103,"6347","Commerce Quarantine Pests","Record the number of quarantine pests intercepted from market, distributor, and related follow-up inspections (retail or wholesale). This information is supplied by the identifiers.",NA,0,"2011-12-05 15:24:53.0000000",0,"2025-02-22 04:36:40.0000000",12,1,TRUE,TRUE
"68",104,"6349","Commerce Violations, PPQ 518","Record the number of Record of Violations (PPQ 518) issued on Regular Time from market, distributor, and related follow-up inspections.",NA,0,"2011-12-05 15:24:53.0000000",0,"2006-09-22 08:24:47.0000000",12,1,TRUE,TRUE
"69",107,"2003","Maritime Inspections, Ships Direct Foreign outside of Regular Hours","Record the number of direct foreign commercial vessels boarded and inspected outside regular hours of service. Include cruise ships, tankers, bulk carriers, and ocean-going tugs. Exclude yachts, military vessels, and historical craft (Count is by number of Form 288s completed)
",NA,0,"2011-12-05 15:24:53.0000000",0,"2024-04-19 18:58:16.0000000",1,2,FALSE,TRUE
"70",112,"2020","Treatments,  Maritime Cargo,  O/T Fumigation","Report the number of fumigations performed on cargo shipments outside the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. If one stack contains 5 B/Ls, it is still only one fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-25 07:36:11.0000000",45,1,TRUE,TRUE
"71",117,"2048","Treatments, Air Cargo, O/T Fumigation","Report the number of fumigations performed on cargo shipments outside the regular hours of service. The source form is APHIS 8030. Each stack, hence each APHIS 8030, counts as one fumigation. Note: iPhone stack contains five airway bills, it is still only one fumigation. A chamber fumigation may contain more than one airway bill, but it is only one fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-25 07:36:33.0000000",45,1,TRUE,TRUE
"72",124,"2084","Treatments, Land Broder Cargo, O/T Fumigation ","Report the number of fumigations conducted on cargo outside the regular hours of service. The APHIS 8030 that is filled out for each stack or the chart associated with a chamber fumigation would be the source document for each fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-25 07:37:04.0000000",45,1,TRUE,TRUE
"73",126,"2092","O/T Inspections, Reg Cargo, Airport ","Report the number by airway bills of reimbursable inspections/clearances of cargo.",NA,0,"2011-12-05 15:24:53.0000000",0,"2007-04-02 13:02:46.0000000",39,1,TRUE,TRUE
"74",127,"2093","O/T Inspections, Miscellaneous Cargo, Airport","Report by airway bill the number of Reimbursable inspections performed on miscellaneous air cargo. These inspections pertain only to Pre-departure activities. Note: If a regulated item is found during a miscellaneous inspection, that cargo is considered regulated.",NA,0,"2011-12-05 15:24:53.0000000",0,"2007-04-02 12:49:51.0000000",39,1,TRUE,TRUE
"75",128,"2102","O/T Cargo Treatments ","Report the number of cargo treatments performed outside the regular hours of service. Include cleaning and disinfection of vehicles; removing regulated items; fumigation for export commodities both foreign and to the mainland, etc.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-11-06 15:14:39.0000000",39,1,FALSE,TRUE
"76",129,"2110","O/T Shipments Of Endangered Species","Report the number of endangered species shipments which arrived from airport, maritime, or land border services and were inspected on a REIMBURSABLE basis. A shipment is one bill of lading, airway bill, truck entry, or the amount carried in baggage with each Customs declaration. Each variety does not count as a separate shipment. This code is paired with activity code 2111. Examples include two airway bills of cacti arriving from Mexico; three bills of lading containing orchids plants from Thailand; an entry of cycads arriving by truck at Brownsville.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-04-15 09:01:23.0000000",5,1,TRUE,TRUE
"77",130,"2111","O/T Plant Units In Shipments Of Endangered Species ","Report the number of plant units (cuttings, whole plants, propagative units other than seed) that were in the endangered species shipments reported under activity code 2110.",NA,0,"2011-12-05 15:24:53.0000000",0,"2003-04-15 09:01:39.0000000",5,1,TRUE,TRUE
"78",136,"3003E","Pharmaceutical Release Permit Post-Harvest","Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit post-harvest. Record the number of post-harvest Pharma Inspections completed(with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-07-21 09:51:42.0000000",13,1,TRUE,TRUE
"79",341,"3759","Regulatory - AGM Vessel Inspections","Record the number of vessels inspected for the presence of Asian Gypsy Moth AGM.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-02-05 08:03:16.0000000",1,2,TRUE,TRUE
"80",637,"1007A","Maritime Arriving Passenger/Crew, Count","Record the total number of all passengers and crew arriving direct foreign.  This includes anyone disembarking or remaining on the vessel.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:50:18.0000000",1,2,TRUE,TRUE
"81",638,"1007B","Maritime Passenger/Crew, Inspections","Record the number of passengers and crew arriving on direct foreign vessels whose baggage is physically opened and inspected.  Also include departing crew members who will return to the vessel.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:50:53.0000000",1,2,TRUE,TRUE
"82",639,"1008A","Maritime Regulated Cargo - Document Review/Clearance","Record by cargo bills of lading the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all bills of lading for which only a review of documents is required to release the cargo, and also applies to cargo eligible for release under PPQ/CBP reduced inspection programs (e.g. RBS, NARP, CFRP). Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. If a document review results in an inspection, record the inspection under 1008B.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-12-09 07:46:40.0000000",1,2,TRUE,TRUE
"83",640,"1008B","Maritime Regulated Cargo - Inspections","Record the number of physical inspections performed on cargo manifests specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII) only.   For example, each shipment (bill/entry) with one or more containers containing regulated cargo (one or more commodities) is to be counted as one inspection.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:59:17.0000000",1,2,TRUE,TRUE
"84",641,"1008C","Maritime Container Inspections, Regulated Cargo","Report the number of containers where cargo specifically regulated by 7, 9, or 50 CFR was inspected .  Count the number of total containers opened and inspected from the shipments tallied in 1008B. Exclude containers subject to Non-Intrusive Inspection Technology (NII) exams only.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:00:56.0000000",1,2,TRUE,TRUE
"85",642,"1009A","Maritime Miscellaneous Cargo - Document Review/Clearance","Record by bills of lading the number of document reviews/clearances of cargo held to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1009B. Visual verification may be performed on the cargo, but only to satisfy the conditions of the permit to allow entry. Example: 1) Food stuff listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) Pharmaceuticals is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) Meat is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-12-09 07:47:48.0000000",1,2,TRUE,TRUE
