Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Airport,Airport Cargo QMIs - Meat/Poultry/Dairy Byproducts,Airport,Aircraft,cargo,ag cargo,cargo_shipment,swine_products_byproducts,commercial_imports,,interception_or_violation,Airport Cargo QMIs - Meat/Poultry/Dairy Byproducts,non-passenger related,non-passenger related,non-passenger related,Record the number of meat/poultry/dairy animal byproduct interceptions found incidental in the inspection of cargo.,Record the number of meat/poultry/dairy animal byproduct interceptions found incidental in the inspection of cargo.,Cargo,N/A,N/A
Airport,Airport Cargo QMIs - Other Meat,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Cargo QMIs - Other Meat,non-passenger related,non-passenger related,non-passenger related,"Record the number of other meat interceptions found incidental in the inspection of cargo that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.","Record the number of other meat interceptions found incidental in the inspection of cargo that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.",Cargo,N/A,N/A
Airport,Airport Cargo QMIs - Other Meat Byproducts,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Cargo QMIs - Other Meat Byproducts,non-passenger related,non-passenger related,non-passenger related,"Record the number of other animal byproducts found incidental in the inspection of cargo that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.","Record the number of other animal byproducts found incidental in the inspection of cargo that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.",Cargo,N/A,N/A
Airport,Airport Cargo Shipments Released under CRA,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Cargo Shipments Released under CRA,non-passenger related,non-passenger related,non-passenger related,Report by air waybill the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Report by air waybill the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Cargo,N/A,N/A
Airport,Airport Cargo Violations CBP/PPQ 592 or PPQ 518,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Cargo Violations CBP/PPQ 592 or PPQ 518,non-passenger related,non-passenger related,non-passenger related,Record the number of air cargo violations issued. Source document is the PPQ518 or CBP-AI/PPQ 592.,Record the number of air cargo violations issued. Source document is the PPQ518 or CBP-AI/PPQ 592.,Cargo,N/A,N/A
Airport,"Airport Cargo/Conveyance Treatments, Non-Fumigation",Airport,Aircraft,cargo,ag cargo,conveyance,na,,,,"Airport Cargo/Conveyance Treatments, Non-Fumigation",non-passenger related,non-passenger related,non-passenger related,"Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)",Cargo,N/A,N/A
Airport,Airport Miscellaneous Cargo - Document Review/Clearance,Airport,Aircraft,cargo,misc cargo,cargo_shipment,na,,,,Airport Miscellaneous Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by air waybill (or house bill, if appropriate) the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR.  If a document review results in an inspection, record the inspection under 1036B.  Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held.  The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" are held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection is required.  3) ""Meat"" is held.  An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection is required. 4) ""Personal effects"" are held.  A list of items in the shipment is provided by the owner as he files an informal entry. The contents are of no concern to Agriculture. The cargo is released, and no inspection is required. 5) A ""CONSOL"" is held.  House air waybills are provided by the agent upon arrival of the aircraft. The house bills are of no interest to Agriculture. The master bill is released, and no inspection is required.  Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by air waybill (or house bill, if appropriate) the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR.  If a document review results in an inspection, record the inspection under 1036B.  Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held.  The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" are held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection is required.  3) ""Meat"" is held.  An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection is required. 4) ""Personal effects"" are held.  A list of items in the shipment is provided by the owner as he files an informal entry. The contents are of no concern to Agriculture. The cargo is released, and no inspection is required. 5) A ""CONSOL"" is held.  House air waybills are provided by the agent upon arrival of the aircraft. The house bills are of no interest to Agriculture. The master bill is released, and no inspection is required.  Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Airport,Airport Miscellaneous Cargo - Inspections,Airport,Aircraft,cargo,misc cargo,cargo_shipment,na,,,,Airport Miscellaneous Cargo - Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on cargo by air waybill (or house bill, if appropriate ) specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment, Military household goods.","Record the number of physical inspections performed on cargo by air waybill (or house bill, if appropriate ) specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment, Military household goods.",Cargo,N/A,N/A
Airport,"Airport Passenger/Crew Count, High-Risk Flight Arrivals",Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,"Passenger/Crew Count, High-Risk Flight Arrivals",Total number of people arriving (high-risk flights),Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,"Record the number of all passengers and crew subject to inspection arriving on flights from the following countries:  Afghanistan, Albania, Algeria, Angola, Armenia, Australia, Azerbaijan, Bangladesh, Benin, Botswana, Brazil, British Indian Ocean Territory, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Central African Republic, Chad, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Costa Rica, Cote d'Ivoire, Cuba, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Haiti, Heard and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Laos, Lesotho, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Mali, Malta, Mauritania, Mauritius, Mayotte, Mexico, Monaco, Morocco, Mozambique, Myanmar (Burma), Nepal, Netherlands, Niger, Nigeria, Northern Ireland, Oman, Pakistan, Panama, Peru, Philippines, Portugal, Reunion, Romania, Russian Federation, Rwanda, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Slovakia, Somalia, South Africa, South Georgia & The South Sandwich Islands, South Korea, Spain, St. Helena, Sudan, Swaziland, Tanzania, Thailand, Togo, Tokelau, Trinidad and Tobago, Tunisia, Turkey, Uganda, Ukraine, United Kingdom, Venezuela, Viet Nam, Western Sahara, Zambia, Zimbabwe","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries:  Afghanistan, Albania, Algeria, Angola, Armenia, Australia, Azerbaijan, Bangladesh, Benin, Botswana, Brazil, British Indian Ocean Territory, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Central African Republic, Chad, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Costa Rica, Cote d'Ivoire, Cuba, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Haiti, Heard and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Laos, Lesotho, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Mali, Malta, Mauritania, Mauritius, Mayotte, Mexico, Monaco, Morocco, Mozambique, Myanmar (Burma), Nepal, Netherlands, Niger, Nigeria, Northern Ireland, Oman, Pakistan, Panama, Peru, Philippines, Portugal, Reunion, Romania, Russian Federation, Rwanda, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Slovakia, Somalia, South Africa, South Georgia & The South Sandwich Islands, South Korea, Spain, St. Helena, Sudan, Swaziland, Tanzania, Thailand, Togo, Tokelau, Trinidad and Tobago, Tunisia, Turkey, Uganda, Ukraine, United Kingdom, Venezuela, Viet Nam, Western Sahara, Zambia, Zimbabwe",Passenger,N/A,Airport Passenger
Airport,"Airport Passenger/Crew Count, Low-Risk Flight Arrivals",Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,"Passenger/Crew Count, Low-Risk Flight Arrivals",Total number of people arriving (low-risk flights),Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,"Record the number of all passengers and crew subject to inspection arriving on flights from the following countries: Andorra, Anguilla, Bermuda, Denmark, Falkland Islands (Malvinas), Finland, French Guiana, Gibraltar, Greenland, Iceland, Latvia, Lithuania, Luxembourg, New Caledonia, Norfolk Island, Norway, St. Pierre and Miquelon, Sweden, Turks and Caicos Islands, Wallis and Futuna Islands","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries: Andorra, Anguilla, Bermuda, Denmark, Falkland Islands (Malvinas), Finland, French Guiana, Gibraltar, Greenland, Iceland, Latvia, Lithuania, Luxembourg, New Caledonia, Norfolk Island, Norway, St. Pierre and Miquelon, Sweden, Turks and Caicos Islands, Wallis and Futuna Islands",Passenger,N/A,Airport Passenger
Airport,"Airport Passenger/Crew Count, Medium-Risk Flight Arrivals",Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,"Passenger/Crew Count, Medium-Risk Flight Arrivals",Total number of people arriving (medium-risk flights),Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,"Record the number of all passengers and crew subject to inspection arriving on flights from the following countries:  Antigua and Barbuda, Argentina, Aruba, Austria, Bahamas, Bahrain, Barbados, Belarus, Belgium, Belize, Bhutan, Bolivia, Bosnia and Herzegovina, Brunei Darussalam, Bulgaria, Canada, Cayman Islands, Chile, Cook Islands, Croatia, Cyprus, Czech Republic, Dominica, East Timor, Estonia, Faroe Islands, Federated States of Micronesia, Fiji, French Polynesia, Grenada, Guadeloupe, Guyana, Holy See (Vatican City State), Hungary, Ireland, Kiribati, Kyrgyzstan, Lebanon, Macau, Macedonia, Maldives, Marshall Islands, Martinique, Moldova, Mongolia, Montserrat, Namibia, Nauru, Netherlands Antilles, New Zealand, Nicaragua, Niue, North Korea, Palau, Papua New Guinea, Paraguay, Poland, Qatar, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and The Grenadines, Samoa, San Marino, Serbia & Montenegro, Slovenia, Solomon Islands, Sri Lanka, Suriname, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, Tonga, Turkmenistan, Tuvalu, United Arab Emirates, Uruguay, Uzbekistan, Vanuatu, Virgin Islands (British), Yemen.  Any countries not listed here or in 1034A or 1034C, then consider the country Medium Risk.","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries:  Antigua and Barbuda, Argentina, Aruba, Austria, Bahamas, Bahrain, Barbados, Belarus, Belgium, Belize, Bhutan, Bolivia, Bosnia and Herzegovina, Brunei Darussalam, Bulgaria, Canada, Cayman Islands, Chile, Cook Islands, Croatia, Cyprus, Czech Republic, Dominica, East Timor, Estonia, Faroe Islands, Federated States of Micronesia, Fiji, French Polynesia, Grenada, Guadeloupe, Guyana, Holy See (Vatican City State), Hungary, Ireland, Kiribati, Kyrgyzstan, Lebanon, Macau, Macedonia, Maldives, Marshall Islands, Martinique, Moldova, Mongolia, Montserrat, Namibia, Nauru, Netherlands Antilles, New Zealand, Nicaragua, Niue, North Korea, Palau, Papua New Guinea, Paraguay, Poland, Qatar, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and The Grenadines, Samoa, San Marino, Serbia & Montenegro, Slovenia, Solomon Islands, Sri Lanka, Suriname, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, Tonga, Turkmenistan, Tuvalu, United Arab Emirates, Uruguay, Uzbekistan, Vanuatu, Virgin Islands (British), Yemen.  Any countries not listed here or in 1034A or 1034C, then consider the country Medium Risk.",Passenger,N/A,Airport Passenger
Airport,Airport Passenger/Crew Secondary Inspections,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,Passenger/Crew Secondary Inspections,Total number of people inspected,Total number of people inspected,Total number of people (or vehicles for vehicle pathway) inspected,"Record the number of actual passengers/crew referred to agricultural secondary for inspection.  Utilization of an X-ray is considered a form of inspection for this code, even though the luggage was not physically opened.  Source is CBP Declaration Form 6059B.  Count the total declarations collected from the secondary inspection and add the total number of family members traveling on the declaration from line 3 of Form 6059B.  Record actual counts only; do not Record estimates or formula calculations.","Record the number of actual passengers/crew referred to agricultural secondary for inspection.  Utilization of an X-ray is considered a form of inspection for this code, even though the luggage was not physically opened.  Source is CBP Declaration Form 6059B.  Count the total declarations collected from the secondary inspection and add the total number of family members traveling on the declaration from line 3 of Form 6059B.  Record actual counts only; do not Record estimates or formula calculations.",Passenger,N/A,Airport Passenger
Airport,Airport Plant QMIs - Baggage,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,Plant QMIs - Baggage,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.,Record the number of plant QMIs intercepted from passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.,Passenger,N/A,Airport Passenger
Airport,Airport Plant QMIs - Cargo,Airport,Aircraft,cargo,passenger pathway,cargo_shipment,na,,,,Airport Plant QMIs - Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of plant QMIs intercepted as the result of a cargo inspection. Record only those plant QMIs incidental to the inspection.  NOTE:  A small bag of mangoes found in a cargo shipment of melons from El Salvador would count as one interception.,Record the number of plant QMIs intercepted as the result of a cargo inspection. Record only those plant QMIs incidental to the inspection.  NOTE:  A small bag of mangoes found in a cargo shipment of melons from El Salvador would count as one interception.,Cargo,N/A,N/A
Airport,Airport Plant QMIs - Stores/Quarters,Airport,Aircraft,unspecified,passenger pathway,conveyance,na,,,,Airport Plant QMIs - Stores/Quarters,non-passenger related,non-passenger related,non-passenger related,"Record the number of plant QMIs intercepted from aircraft stores/quarters. NOTE: A bouquet of flowers out of the quarters of an aircraft would count as one interception; an apple, an orange, and a bunch of grapes taken from the stores of a aircraft would count as three interceptions.","Record the number of plant QMIs intercepted from aircraft stores/quarters. NOTE: A bouquet of flowers out of the quarters of an aircraft would count as one interception; an apple, an orange, and a bunch of grapes taken from the stores of a aircraft would count as three interceptions.",Aircraft,N/A,N/A
Airport,Airport QMIs Dairy - Baggage,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Dairy - Baggage,QMIs Dairy,Animal QMIs,Animal QMIs,Record the number of Dairy interceptions from air passenger/crew baggage inspections.,Record the number of Dairy interceptions from air passenger/crew baggage inspections.,Passenger,N/A,Airport Passenger
Airport,Airport Regulated Cargo - Document Review/Clearance,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Regulated Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by air waybill (or house bill, if appropriate) the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all air waybills which only paperwork is required to release the shipment. Include mandatory treatments and AWB released under National Agricultural Release Program (NARP). Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1035B.  Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by air waybill (or house bill, if appropriate) the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all air waybills which only paperwork is required to release the shipment. Include mandatory treatments and AWB released under National Agricultural Release Program (NARP). Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1035B.  Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
