CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,REF_WADS_DEPARTMENT_ID,applicability,quantification_purpose,quantification_of,entry_type,PoE,convey_type,conveyance,container_edge,Notes,product_pathway,product_subpathway,PATHWAY
1049,"Airport Cargo/Conveyance Treatments, Non-Fumigation","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",2,,,,,,,,,,,,
1052,Airport Passenger/Crew Secondary Inspections,Record the actual number of passengers / crew referred to secondary for inspection.  Record actual counts only; do not record estimates or formula calculations.,2,,inspections,persons,passenger,airport,aircraft,passenger plane,baggage,number of air passenger inspections,,,
1060,Land Border Passenger Vehicles Entering,"Record the total number of passenger vehicles entering through land border crossings.  Include POVs, motorcycles, RVs etc. making entry through passenger processing.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.
",2,1,arrival,vehicle,passenger,land border,vehicle,passenger vehicle,vehicle,number of passenger vehicles,,,Land Border - Truck - Conveyance - CBP
1061,Land Border Pedestrians Entering ,"Record the total number of pedestrians entering at the border crossings. 
",2,1,arrival,persons,passenger,land border,pedestrian,passenger,baggage,number of pedestrians entering,,,Pedestrian
1062,"Land Border Secondary, Vehicles inspected ","Record the number of agricultural inspections performed on vehicles in secondary.
",2,,,,,,,,,,,,
1064,Land border pedestrians inspected,Record the number of land border pedestrians  inspected in secondary by agriculture.,2,,,,,,,,,,,,
1065,Land Border Freight Railcars Inspected,Record the number of freight railcars physically inspected by agriculture to specifically include exterior inspections and /or interior inspections of empty railcars.  Do not include interior inspections that correspond with contained cargo.  Those inspections will be included with cargo inspections and are recorded under 1067D or 1068D.,2,,,,,,,,,,,,
1069,Land Border Civil Penalties Passenger/Pedestrian (CBP-AI Form 591),"Record the number of passenger/pedestrian civil penalties issued.  This would include civil penalties issued to bus and truck drivers for having undeclared prohibited agricultural items for personal use.  Source document is CBP-AI form 591.
",2,,,,,,,,,,,,
1083,"Land Border Treatments, Carriers (Other than Rail Cargo)",Record the number of carrier treatments conducted. Do not count rail car cleaning. NOTE; Refusal of a truck carrying produce that was contaminated with soil or manure would count as a treatment.,2,,,,,,,,,,,,
1084,"Treatments, Land Border Cargo, Fumigation",Report the number of fumigations conducted on cargo within the regular hours of service. The APHIS 8030 or 429 Form that is filled out for each stack or the chart associated with a chamber fumigation would be the source document for each fumigation.,1,,,,,,,,,,,,
1085,"Land Border Treatments, Cargo, Not Fumigated","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",2,,,,,,,,,,,,
1090,"Inspections, Domestic Aircraft ",Report the number of aircraft inspected in pre departure services.,1,,,,,,,,,,,,
1091,"Inspections, Domestic Air Passenger/Crew ",Report the number of passenger and crew processed through the airport whether actual physical inspection of their baggage was or was not conducted.,1,,,,,,,,,,,,
1092,"Inspections, Regulated Cargo, Airport ",Report by air waybill the number of inspections conducted during regular hours of service on regulated cargo. Includes irradiated and hot water treated commodities.,1,,,,,,,,,,,,
1093,"Inspections, Miscellaneous. Cargo, Airport","Report by airway bill the number of inspections of miscellaneous cargo conducted during the regular hours of service. Note: If a regulated item is found during a miscellaneous inspection, that cargo is considered regulated. This is for Pre-Departure cargo only",1,,,,,,,,,,,,
1094,"Pre-Clearance Inspections, Aircraft","Record the number of aircraft inspected under the Pre-Clearance program (i.e. Non-US origin including Caribbean islands, Canadian ports, etc.)
",2,,,,,,,,,,,,
1102,Cargo Treatments,"Report the number of cargo treatments performed during the regular hours of service. Note: Include cleaning and disinfection of vehicles; removing regulated items; fumigation for export commodities both foreign and to the mainland, etc.",1,,,,,,,,,,,,
1103,"Violations, Domestic Mail",Report the number of violations (PPQ518) issued from domestic mail inspections,1,,,,,,,,,,,,
1104,Pre-Clearance Civil Penalty Passenger/Crew,"Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591), under the Pre-Clearance program (i.e. Non-US origin including Caribbean islands, Canadian ports, etc.)
",2,,,,,,,,,,,,
1110,Shipments Of Endangered Species ,"Report the number of endangered species shipments which arrived from airport, maritime, or land border services and were inspected. A shipment is one bill of lading, airway bill, or the amount carried in baggage with each custom declaration. Each variety does not count as a separate shipment. This code is paired with activity code 1111. Examples include two airway bills of cacti arriving from Mexico; three bills of lading containing orchids plants from Thailand; an entry of cycads arriving by truck at Brownsville.",1,,,,,,,,,,,,
1111,Units Of Endangered Plants ,"Report the number of plant units (cuttings, whole plants, propagative units (other than seed)) that were in the endangered species shipments reported under activity code 1110.",1,,,,,,,,,,,,
1114,Quarantine-Pest (PIS Only),Report the number of quarantine pests intercepted at the inspection station during the month. Information supplied by identifiers.,1,,,,,,,,,,,,
1122,"Certificates, Vs16-4, Animal Byproducts ",Report the number of VS 16-4 forms (Export Certificate - Animal Products) issued.,1,,,,,,,,,,,,
1124,"Endangered Plants, Export, Awbs Or B/Ls ",Report the number of endangered species plant shipments inspected for export. Units are AWBs or B/Ls. This code is paired with activity code 1125 and 1125A.,1,,,,,,,,,,,,
1125,"Endangered Plants, Units","Report the number of endangered species plant units inspected for export. Note:  If the shipment is dried ginseng, use one as the number of plant units inspected for each shipment being exported.  See code 1124. If other any other gels or preparations can not be individually counted, the unit of measure is 1 for this code.",1,,,,,,,,,,,,
1126,Import Shipments W/ Endangered Plant,Report the number of shipments containing parts or derivatives (of plant endangered species) inspected for import. These are nonliving CITES materials.  Inspectional units are airway bills (AWB) or bills of lading (BL) or truck entries. Example would be mahogany lumber.  This code is paired with code 1126A.,2,,,,,,,,,,,,
1130,USPS Mail Packages Inspected (including parcel post and express),Record the number of USPS mail packages (parcel post and express) which have been physically opened and inspected for agricultural purposes. Packages that have been x-rayed only are recorded under code 1137.,2,,,,,,,,,,,,
1131,USPS Mail Plant QMIs (including parcel post and express),Record the number of plant interceptions from USPS mail inspections (parcel post and express).  Source document is PPQ form 287.,2,,,,,,,,,,,,
1134O,USPS Mail QMIs Other Meat Byproducts (including parcel post and express),"USPS Mail Other Animal Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption).  Record the number of ‘other animal’ byproduct interceptions that are not classified as avian, swine, or ruminant from USPS mail inspections (parcel post and express).  Examples would include equine or other unidentifiable animal byproduct.  Source document is PPQ form 287.",2,,,,,,,,,,,,
1137,USPS Mail Packages X-Rayed (including parcel post and express),Report the number of mail packages (parcel post and express) x-rayed.,2,,,,,,,,,,,,
1138,USPS Mail Violations PPQ 518 (including parcel post and express),Record the number of USPS mail violations (parcel post and express) issued. Source document is the PPQ518 and CBP AI 518.,2,,,,,,,,,,,,
1152,Clean/Disinfect Footwear,Clean/Disinfect Footwear: Record the number of pairs of footwear cleaned/disinfected to prevent animal diseases.,2,,,,,,,,,,,,
1153,Clean/Disinfect Aircraft,Clean/Disinfect Aircraft:  Record the number of aircraft that have been cleaned and disinfected to prevent animal diseases.,2,,,,,,,,,,,,
1154,Clean/Disinfect Other,"Clean/Disinfect Other:  Record the number of conveyances, containers, equipment, or other fomites that were cleaned/disinfected to prevent animal diseases.",2,,,,,,,,,,,,
1155,Animal Product Import Certificates Reviewed,"Animal Product Import Certificates Reviewed:  Record the number of Animal Product Import Certificates reviewed.  These certificates are required to support the entry requirements of the particular imported product into or through the U.S.  Examples: 1) Foreign meat certificate, 2) Veterinary certificate, 3) Animal casing certificate; and 4) Health certificate.",2,,,,,,,,,,,,
1160,Post Entry  Field Inspections,Report the number of follow-up site inspections of post entry materials. This does not include initial inspections of post entry materials at inspections stations. That is recorded under 1112.,1,,,,,,,,,,,,
1163,Emergency Action Orders (Form 523),"Report the number of emergency action orders, PPQ form 523, issued. (SITC users - use code under SITC pathway)",1,,,,,,,,,,,,
1165,CITES Violations/Non-Compliance Incidents,"Report the number of incidents that involve propagative CITES material that resulted in forfeiture or other corrective action to comply with CITES requirements. This may include obtaining a CITES permit, re-exportation, seizure, or transport to a Rescue Center.",1,,,,,,,,,,,,
1172,Inland QMIs Plant,Record the number of plant QMIs intercepted from all inland inspections.  Note: Three different fruits would count as three interceptions. Three oranges seized out of one container would count as one interception.,2,,,,,,,,,,,,
1173,Inland QMIs Meat/Poultry /Dairy,"Record the number of meat/poultry/dairy interceptions found incidental in inland cargo inspection.  These are products  classified as dairy, avian, swine, or ruminant. Do not include plant-based milk",2,,,,,,,,,,,,
1175,Inland Total Meat/Poultry/Dairy Byproducts QMIs,"Record the number of meat/poultry/dairy animal byproduct interceptions from inland cargo inspection. This number is for animal byproduct interceptions incidental to the cargo inspection, not the cargo itself.",2,,,,,,,,,,,,
1178,Inland Violations (Form 518),"Record the number of inland violations issued for containerized cargo. Include violations issued for unauthorized movement of regulated cargo. The source document is the PQ518
",2,,,,,,,,,,,,
1179,"Treatments, Inland Inspection  Cargo, Fumigation",Report the number of fumigations performed per shipment as defined by bill of lading.  Source is PPQ Form 429.,1,,,,,,,,,,,,
1180,"Inland Cargo/Conveyance Treatments, Non-Fumigation","Record the number of non-fumigation treatments performed in/on/with inland cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)
",2,,,,,,,,,,,,
6341,"Commerce QMIs, Plant","Record the number of plant material interceptions (QMIs) from market, distributor, and related follow-up inspections (retail or wholesale). This includes all plant material requiring action (seizure, treatment, re-export).",1,,,,,,,,,,,,
6342,"Commerce QMIs, Plant, Weight","Record the estimated weight of the plant material interceptions from market, distributor, and related follow-up inspections in kilograms.",1,,,,,,,,,,,,
6347,Commerce Quarantine Pests,"Record the number of quarantine pests intercepted from market, distributor, and related follow-up inspections (retail or wholesale). This information is supplied by the identifiers.",1,,,,,,,,,,,,
6349,"Commerce Violations, PPQ 518","Record the number of Record of Violations (PPQ 518) issued on Regular Time from market, distributor, and related follow-up inspections.",1,,,,,,,,,,,,
2003,"Maritime Inspections, Ships Direct Foreign outside of Regular Hours","Record the number of direct foreign commercial vessels boarded and inspected outside regular hours of service. Include cruise ships, tankers, bulk carriers, and ocean-going tugs. Exclude yachts, military vessels, and historical craft (Count is by number of Form 288s completed)
",2,,,,,,,,,,,,
2020,"Treatments,  Maritime Cargo,  O/T Fumigation","Report the number of fumigations performed on cargo shipments outside the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. If one stack contains 5 B/Ls, it is still only one fumigation.",1,,,,,,,,,,,,
2048,"Treatments, Air Cargo, O/T Fumigation","Report the number of fumigations performed on cargo shipments outside the regular hours of service. The source form is APHIS 8030. Each stack, hence each APHIS 8030, counts as one fumigation. Note: iPhone stack contains five airway bills, it is still only one fumigation. A chamber fumigation may contain more than one airway bill, but it is only one fumigation.",1,,,,,,,,,,,,
2084,"Treatments, Land Broder Cargo, O/T Fumigation ",Report the number of fumigations conducted on cargo outside the regular hours of service. The APHIS 8030 that is filled out for each stack or the chart associated with a chamber fumigation would be the source document for each fumigation.,1,,,,,,,,,,,,
2092,"O/T Inspections, Reg Cargo, Airport ",Report the number by airway bills of reimbursable inspections/clearances of cargo.,1,,,,,,,,,,,,
2093,"O/T Inspections, Miscellaneous Cargo, Airport","Report by airway bill the number of Reimbursable inspections performed on miscellaneous air cargo. These inspections pertain only to Pre-departure activities. Note: If a regulated item is found during a miscellaneous inspection, that cargo is considered regulated.",1,,,,,,,,,,,,
2102,O/T Cargo Treatments ,"Report the number of cargo treatments performed outside the regular hours of service. Include cleaning and disinfection of vehicles; removing regulated items; fumigation for export commodities both foreign and to the mainland, etc.",1,,,,,,,,,,,,
2110,O/T Shipments Of Endangered Species,"Report the number of endangered species shipments which arrived from airport, maritime, or land border services and were inspected on a REIMBURSABLE basis. A shipment is one bill of lading, airway bill, truck entry, or the amount carried in baggage with each Customs declaration. Each variety does not count as a separate shipment. This code is paired with activity code 2111. Examples include two airway bills of cacti arriving from Mexico; three bills of lading containing orchids plants from Thailand; an entry of cycads arriving by truck at Brownsville.",1,,,,,,,,,,,,
2111,O/T Plant Units In Shipments Of Endangered Species ,"Report the number of plant units (cuttings, whole plants, propagative units other than seed) that were in the endangered species shipments reported under activity code 2110.",1,,,,,,,,,,,,
3003E,Pharmaceutical Release Permit Post-Harvest,"Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit post-harvest. Record the number of post-harvest Pharma Inspections completed(with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3759,Regulatory - AGM Vessel Inspections,Record the number of vessels inspected for the presence of Asian Gypsy Moth AGM.,2,,,,,,,,,,,,
1007A,"Maritime Arriving Passenger/Crew, Count",Record the total number of all passengers and crew arriving direct foreign.  This includes anyone disembarking or remaining on the vessel.,2,1,arrival,persons,passenger,maritime,vessel,,baggage,number of all maritime passengers,,,Cruise_ship
1007B,"Maritime Passenger/Crew, Inspections",Record the number of passengers and crew arriving on direct foreign vessels whose baggage is physically opened and inspected.  Also include departing crew members who will return to the vessel.,2,,,,,,,,,,,,
1008A,Maritime Regulated Cargo - Document Review/Clearance,"Record by cargo bills of lading the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all bills of lading for which only a review of documents is required to release the cargo, and also applies to cargo eligible for release under PPQ/CBP reduced inspection programs (e.g. RBS, NARP, CFRP). Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. If a document review results in an inspection, record the inspection under 1008B.",2,1,arrival,cargo,commercial,maritime,vessel,cargo vessel,cargo,number of all maritime cargo shipments,,,Maritime Port - Vessel - Cargo - CBP
1008B,Maritime Regulated Cargo - Inspections,"Record the number of physical inspections performed on cargo manifests specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII) only.   For example, each shipment (bill/entry) with one or more containers containing regulated cargo (one or more commodities) is to be counted as one inspection.",2,,,,,,,,,,,,
1008C,"Maritime Container Inspections, Regulated Cargo","Report the number of containers where cargo specifically regulated by 7, 9, or 50 CFR was inspected .  Count the number of total containers opened and inspected from the shipments tallied in 1008B. Exclude containers subject to Non-Intrusive Inspection Technology (NII) exams only.",2,,,,,,,,,,,,
1009A,Maritime Miscellaneous Cargo - Document Review/Clearance,"Record by bills of lading the number of document reviews/clearances of cargo held to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1009B. Visual verification may be performed on the cargo, but only to satisfy the conditions of the permit to allow entry. Example: 1) Food stuff listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) Pharmaceuticals is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) Meat is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",2,,,,,,,,,,,,
1009B,Maritime Miscellaneous Cargo - Inspection,"Record the number of physical inspections performed on each cargo container NOT specifically regulated by 7, 9, or 50 CFR.  This code is associated with the inspection of the commodity, not the container. DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo: Non-Compliant Wood Packing Material, Italian Tile, Handicrafts,  Farm Equipment, Military household goods.",2,,,,,,,,,,,,
1009C,"Maritime Container Inspection, Miscellaneous Cargo","Record the number of physical inspections performed on each cargo container NOT specifically regulated by 7, 9, or 50 CFR.  This code is associated with inspections of the container, not the commodity. Count the number of total containers opened and inspected. DO NOT include examinations by Non-Intrusive Inspection Technology.",2,,,,,,,,,,,,
1010A,Maritime QMIs Plants - Baggage,Record the number of plant QMIs intercepted from maritime passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage.,2,,,,,,,,,,,,
1010B,Maritime regulated/prohibited Plants - Cargo,Record the number of regulated/prohibited plants intercepted from maritime cargo inspections.,2,,,,,,,,,,,,
1010C,Maritime QMIs Plants - Stores/Quarters,Record the number of plant QMIs intercepted from all vessel stores and/or quarters. NOTE: Three different fruits would count as three interceptions out of baggage.,2,,,,,,,,,,,,
1011B,"Maritime Total Meat/Poultry/ Dairy QMIs, Cargo","Record the number of MEAT/POULTRY/DAIRY interceptions found during cargo inspections. For example, a dried salami seized out of a crate of household goods is one interception. Several containers of a meat product that were rejected would NOT count as an meat/poultry/dairy interception. It is not incidental to the inspection.",2,,,,,,,,,,,,
1013B,"Maritime Total Inedible Animal QMIs, Cargo","Record the number of inedible animal byproducts intercepted from Bills of Lading of cargo.  Animal byproducts are inedible products such as skins, empty egg shells, horns, etc. Only record those interceptions incidental to the inspection, not the cargo itself.",2,,,,,,,,,,,,
1018A,"Maritime Ship Garbage Violation CBP/PPQ 592, PPQ 518 and CBP AI-518","Record the number of ship garbage violations issued having leaking, uncovered, and exposed garbage containers, or disposing or dumping garbage in an unauthorized manner. Source document is the CBP-AI/PPQ 592, PPQ 518 and CBP AI-518.",2,,,,,,,,,,,,
1018B,Maritime Ship Notification Violation CBP/PPQ 592,"Record the number of failure to provide advance notification of arrival of a maritime carrier when advance notification is required. Source document is the CBP-AI/PPQ 592.
",2,,,,,,,,,,,,
1018C,Maritime Cargo Violations CBP/PPQ 592 or PPQ 518,"Record the number of cargo violations issued for the improper breaking of PPQ seals or unauthorized breaking of APHIS seals on vessel stores, galleys, and cargo. Include violations issued for unauthorized movement of regulated cargo.  Source document is the PPQ518 or CBP-AI/PPQ 592
",2,,,,,,,,,,,,
1034A,"Airport Passenger/Crew Count, High-Risk Flight Arrivals","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries  Afghanistan, Albania, Algeria, Angola, Armenia, Australia, Azerbaijan, Bangladesh, Benin, Botswana, Brazil, British Indian Ocean Territory, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Central African Republic, Chad, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Costa Rica, Cote d'Ivoire, Cuba, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Haiti, Heard and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Laos, Lesotho, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Mali, Malta, Mauritania, Mauritius, Mayotte, Mexico, Monaco, Morocco, Mozambique, Myanmar (Burma), Nepal, Netherlands, Niger, Nigeria, Northern Ireland, Oman, Pakistan, Panama, Peru, Philippines, Portugal, Reunion, Romania, Russian Federation, Rwanda, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Slovakia, Somalia, South Africa, South Georgia  and  The South Sandwich Islands, South Korea, Spain, St. Helena, Sudan, Swaziland, Tanzania, Thailand, Togo, Tokelau, Trinidad and Tobago, Tunisia, Turkey, Uganda, Ukraine, United Kingdom, Venezuela, Viet Nam, Western Sahara, Zambia, Zimbabwe",2,1,arrival,persons,passenger,airport,aircraft,passenger plane,baggage,number of air passengers,,,Airport - Aircraft - Person - CBP
1034B,"Airport Passenger/Crew Count, Medium-Risk Flight Arrivals ","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries  Antigua and Barbuda, Argentina, Aruba, Austria, Bahamas, Bahrain, Barbados, Belarus, Belgium, Belize, Bhutan, Bolivia, Bosnia and Herzegovina, Brunei Darussalam, Bulgaria, Canada, Cayman Islands, Chile, Cook Islands, Croatia, Cyprus, Czech Republic, Dominica, East Timor, Estonia, Faroe Islands, Federated States of Micronesia, Fiji, French Polynesia, Grenada, Guadeloupe, Guyana, Holy See (Vatican City State), Hungary, Ireland, Kiribati, Kyrgyzstan, Lebanon, Macau, Macedonia, Maldives, Marshall Islands, Martinique, Moldova, Mongolia, Montserrat, Namibia, Nauru, Netherlands Antilles, New Zealand, Nicaragua, Niue, North Korea, Palau, Papua New Guinea, Paraguay, Poland, Qatar, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and The Grenadines, Samoa, San Marino, Serbia  and  Montenegro, Slovenia, Solomon Islands, Sri Lanka, Suriname, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, Tonga, Turkmenistan, Tuvalu, United Arab Emirates, Uruguay, Uzbekistan, Vanuatu, Virgin Islands (British), Yemen.  Any countries not listed here or in 1034A or 1034C, then consider the country Medium Risk.",2,1,arrival,persons,passenger,airport,aircraft,passenger plane,baggage,number of air passengers,,,Airport - Aircraft - Person - CBP
1034C,"Airport Passenger/Crew Count, Low-Risk Flight Arrivals","Record the number of all passengers and crew subject to inspection arriving on flights from the following countries Andorra, Anguilla, Bermuda, Denmark, Falkland Islands (Malvinas), Finland, French Guiana, Gibraltar, Greenland, Iceland, Latvia, Lithuania, Luxembourg, New Caledonia, Norfolk Island, Norway, St. Pierre and Miquelon, Sweden, Turks and Caicos Islands, Wallis and Futuna Islands",2,1,arrival,persons,passenger,airport,aircraft,passenger plane,baggage,number of air passengers,,,Airport - Aircraft - Person - CBP
1035A,Airport Regulated Cargo - Document Review/Clearance,"Record by air waybill (or house bill, if appropriate) the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all airway bills for which only a review of documents is required to release the cargo, and also applies to cargo eligible for release under PPQ/CBP reduced inspection programs (e.g. RBS, NARP). Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. If a document review results in an inspection, record the inspection under 1035B.",2,1,arrival,shipments,commercial,airport,aircraft,cargo plane,cargo,number of ag related air shipments,,,Airport - Aircraft - Cargo - CBP
1035B,Airport Regulated Cargo - Inspections,"Record the number of physical inspections performed on cargo by air waybill (or house bill, if appropriate)specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII) only.",2,,,,,,,,,,,,
