task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME
TK:7876:25,Puerto Rico,IBL 25-047,2025-05-26T23:00:00Z,"Animal # 7.25 pounds
Plant # 0.0 pounds",3.288542,0,17.96669,-65.98429,IBL,,passenger,NA,Animal_IBL
TK:7854:25,Puerto Rico,IBL 25-046,2025-05-25T23:00:00Z,"ANIMAL #0
PLANT #34",0,15.422128,18.43688,-65.87416,IBL,,passenger,NA,Animal_IBL
TK:7306:25,Puerto Rico,IBL 25-045,2025-05-06T23:00:00Z,"Animal # 18.0 pounds
Plants # 10.5 pounds",8.164656,4.762716,17.95544,-67.15035,IBL,,passenger,NA,Animal_IBL
TK:6848:25,Puerto Rico,IBL 25-044,2025-04-16T23:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.02559,-65.83282,IBL,,passenger,NA,Animal_IBL
TK:6708:25,Puerto Rico,IBL 25-043,2025-04-11T23:00:00Z,"Animal 0.0 pounds
Plant 0.0 pounds",0,0,18.42903,-65.83292,IBL,,passenger,NA,Animal_IBL
TK:5940:25,Puerto Rico,IBL 25-042,2025-03-19T23:00:00Z,"Animal # 8.00 pounds
Plant # 4.00 pounds",3.628736,1.814368,18.01292,-67.17001,IBL,,passenger,NA,Animal_IBL
TK:5784:25,Puerto Rico,IBL 25-041,2025-03-13T23:00:00Z,"Animal # 0.0 pounds
Plant # 15.6 pounds",0,7.0760352,17.96015,-67.21373,IBL,,passenger,NA,Animal_IBL
TK:5783:25,Puerto Rico,IBL 25-040,2025-03-13T23:00:00Z,"Animal # 0.0 pounds
Plant # 0.0 pounds",0,0,18.05422,-67.88819,IBL,,passenger,NA,Animal_IBL
TK:5448:25,Puerto Rico,IBL 25-039,2025-03-10T23:00:00Z,"Animal #50
Plant #0",22.6796,0,18.48531,-66.38508,IBL,,passenger,NA,Animal_IBL
TK:5276:25,Puerto Rico,IBL 25-038,2025-03-02T22:00:00Z,"Animal #2
Plant #0",0.907184,0,18.48859,-66.88284,IBL,,passenger,NA,Animal_IBL
TK:4842:25,Puerto Rico,IBL 25-037,2025-02-18T23:00:00Z,"Animal #7
Plant #3",3.175144,1.360776,18.5028,-67.0011,IBL,,passenger,NA,Animal_IBL
TK:4158:25,Puerto Rico,IBL 25-036,2025-01-30T22:00:00Z,"Animal# 32.0 pounds
Plant# 20.0 pounds",14.514944,9.07184,18.0129,-67.16993,IBL,,passenger,NA,Animal_IBL
TK:4156:25,Puerto Rico,IBL 25-035,2025-01-29T23:00:00Z,"Animal #7
Plant #2",3.175144,0.907184,18.46743,-66.22745,IBL,,passenger,NA,Animal_IBL
TK:4076:25,Puerto Rico,IBL 25-034,2025-01-28T22:00:00Z,"Animal: 4.0 pounds
Plant: 1.0 pounds",1.814368,0.453592,18.01289,-67.16979,IBL,,passenger,NA,Animal_IBL
TK:3633:25,Puerto Rico,IBL 25-033,2025-01-08T22:00:00Z,"Animal # 0.1 pounds
Plant # 0.0 pounds",0.0453592,0,18.48852,-66.84034,IBL,,passenger,NA,Animal_IBL
TK:3629:25,Puerto Rico,IBL 25-032,2025-01-08T22:00:00Z,"Animal # 17.0 pounds
Plant # 0.5 pounds",7.711064,0.226796,18.35673,-67.26918,IBL,,passenger,NA,Animal_IBL
TK:3630:25,Puerto Rico,IBL 25-031,2025-01-08T23:00:00Z,"Animal #15
Plant #5",6.8038799999999995,2.26796,18.48713,-66.55412,IBL,,passenger,NA,Animal_IBL
TK:3541:25,Puerto Rico,IBL 25-030,2025-01-04T23:00:00Z,"Animal # 1lbs
Plant # 2 lbs",0.453592,0.907184,18.42675,-65.83203,IBL,,passenger,NA,Animal_IBL
TK:3538:25,Puerto Rico,IBL 25-029,2025-01-03T22:00:00Z,"Animal #0
Plant #0",0,0,18.50798,-67.13487,IBL,,passenger,NA,Animal_IBL
TK:3526:25,Puerto Rico,IBL 25-028,2025-01-02T22:00:00Z,"Animal #3
Plant #0.5",1.360776,0.226796,18.33691,-67.25406,IBL,,passenger,NA,Animal_IBL
TK:8835:25,Florida,IBL 25-028,2025-06-16T23:00:00Z,Unknown embarkation,NA,NA,25.98812,-80.11731,IBL,,passenger,NA,Animal_IBL
TK:3485:25,Puerto Rico,IBL 25-027,2024-12-31T23:00:00Z,"Animal # 5.0 pounds
Plant # 0.5 pounds",2.26796,0.226796,18.48788,-66.66892,IBL,,passenger,NA,Animal_IBL
TK:8830:25,Florida,IBL 25-027,2025-05-10T23:00:00Z,Unknown embarkation. Irish and UK migrants,NA,NA,27.47126,-80.29405,IBL,,passenger,NA,Animal_IBL
TK:8824:25,Florida,IBL 25-026,2025-05-08T23:00:00Z,"Bahamas, multiple nationalities migrants",NA,NA,26.71547,-80.0329,IBL,,passenger,NA,Animal_IBL
TK:3308:25,Puerto Rico,IBL 25-026,2024-12-26T22:00:00Z,"Animal # 52.00
Plant # 10.00",23.586784,4.53592,17.97802,-66.61869,IBL,,passenger,NA,Animal_IBL
TK:8821:25,Florida,IBL 25-026,2025-05-08T23:00:00Z,Data provided by CBP,NA,NA,26.71547,-80.0329,IBL,,passenger,NA,Animal_IBL
TK:3237:25,Puerto Rico,IBL 25-025,2024-12-21T22:00:00Z,"Animal # 5.30
Plant # 0.0",2.4040376,0,18.06163,-65.82183,IBL,,passenger,NA,Animal_IBL
TK:5944:25,Florida,IBL 25-025,2025-02-02T23:45:00Z,Data provided by CBP,NA,NA,26.89186,-80.0563,IBL,,passenger,NA,Animal_IBL
TK:3220:25,Puerto Rico,IBL 25-024,2024-12-21T22:00:00Z,"Animal # 4.50
Plant # 1.50",2.041164,0.680388,18.09176,-67.19871,IBL,,passenger,NA,Animal_IBL
TK:5942:25,Florida,IBL 25-024,2025-01-31T06:30:00Z,Data provided by CBP,NA,NA,26.63908,-80.03713,IBL,,passenger,NA,Animal_IBL
TK:3084:25,Puerto Rico,IBL 25-023,2024-12-16T22:00:00Z,"Animal #1.5
Plant #0",0.680388,0,17.96111,-67.21402,IBL,,passenger,NA,Animal_IBL
TK:5935:25,Florida,IBL 25-023,2025-01-28T07:40:00Z,Data provided by CBP,NA,NA,25.69016,-80.26988,IBL,,passenger,NA,Animal_IBL
TK:3037:25,Puerto Rico,IBL 25-022,2024-12-16T23:00:00Z,"Animal# 2.0 pounds
Plant# 0.0 pounds",0.907184,0,18.01286,-67.16998,IBL,,passenger,NA,Animal_IBL
TK:5934:25,Florida,IBL 25-022,2025-01-18T14:00:00Z,Data provided by CBP,NA,NA,24.55225,-81.75298,IBL,,passenger,NA,Animal_IBL
TK:2995:25,Puerto Rico,IBL 25-021,2024-12-14T22:00:00Z,"Animal #7
Plant #4",3.175144,1.814368,18.48578,-66.59198,IBL,,passenger,NA,Animal_IBL
TK:5933:25,Florida,IBL 25-021,2025-01-17T14:15:00Z,Data provided by CBP,NA,NA,25.81078,-80.12159,IBL,,passenger,NA,Animal_IBL
TK:5932:25,Florida,IBL 25-020,2025-01-17T09:18:00Z,Data provided by CBP,NA,NA,25.70831,-80.2473,IBL,,passenger,NA,Animal_IBL
TK:2819:25,Puerto Rico,IBL 25-020,2024-12-08T22:00:00Z,"Animal #0
Plant #14",0,6.350288,17.97455,-66.54152,IBL,,passenger,NA,Animal_IBL
TK:5947:25,Florida,IBL 25-020,2025-01-16T23:00:00Z,NA,NA,NA,25.70831,-80.2473,IBL,,passenger,NA,Animal_IBL
TK:5931:25,Florida,IBL 25-019,NA,Data provided by CBP,NA,NA,24.55056,-81.77639,IBL,,passenger,NA,Animal_IBL
TK:2568:25,Puerto Rico,IBL 25-019,2024-12-01T23:00:00Z,"Animal #6.5 pounds
Plant # 0.0 pounds",2.948348,0,18.51367,-67.08047,IBL,,passenger,NA,Animal_IBL
TK:5928:25,Florida,IBL 25-018,2025-01-14T07:40:00Z,Data provided by CBP,NA,NA,24.81339,-81.79768,IBL,,passenger,NA,Animal_IBL
TK:2542:25,Puerto Rico,IBL 25-018,2024-11-30T23:00:00Z,"Animal# 5.0 pounds
Plant# 20.0 pounds",2.26796,9.07184,18.48395,-66.54066,IBL,,passenger,NA,Animal_IBL
TK:5927:25,Florida,IBL 25-017,NA,Data provided by CBP,NA,NA,24.54566,-81.80546,IBL,,passenger,NA,Animal_IBL
TK:2532:25,Puerto Rico,IBL 25-017,2024-11-29T23:00:00Z,"Animal # 5.00
Plant #20.00",2.26796,9.07184,18.49078,-66.60923,IBL,,passenger,NA,Animal_IBL
TK:1940:25,Puerto Rico,IBL 25-016,2024-11-12T23:00:00Z,"Animal# 13.0 pounds
Plant# 2.0 pounds",5.896696,0.907184,18.49065,-66.60759,IBL,,passenger,NA,Animal_IBL
TK:5926:25,Florida,IBL 25-016,2025-01-06T08:00:00Z,Data provided by CBP,NA,NA,25.78184,-80.12917,IBL,,passenger,NA,Animal_IBL
TK:5925:25,Florida,IBL 25-015,2025-01-06T08:11:00Z,Data provided by CBP,NA,NA,24.52746,-81.92488,IBL,,passenger,NA,Animal_IBL
TK:1818:25,Puerto Rico,IBL 25-015,2024-11-10T22:00:00Z,"Animal # 0.7
Plant # 0.0",0.3175144,0,18.48931,-66.60411,IBL,,passenger,NA,Animal_IBL
TK:1783:25,Puerto Rico,IBL 25-014,2024-11-09T22:00:00Z,"Animal # 0.0
Plants # 0.0",0,0,18.49231,-66.97936,IBL,,passenger,NA,Animal_IBL
TK:3792:25,Florida,IBL 25-014,2024-12-31T05:00:00Z,Data provided by CBP,NA,NA,25.28595,-80.28945,IBL,,passenger,NA,Animal_IBL
TK:1430:25,Puerto Rico,IBL 25-013,2024-10-27T23:00:00Z,"ANIMAL # 5
PLANT # 1",2.26796,0.453592,18.4476,-65.93655,IBL,,passenger,NA,Animal_IBL
TK:3791:25,Florida,IBL 25-013,2024-12-29T21:00:00Z,Data provided by CBP,NA,NA,24.55205,-81.7565,IBL,,passenger,NA,Animal_IBL
TK:3790:25,Florida,IBL 25-012,2024-12-27T23:00:00Z,Data provided by CBP,NA,NA,26.20451,-80.09377,IBL,,passenger,NA,Animal_IBL
TK:1403:25,Puerto Rico,IBL 25-012,2024-10-23T23:00:00Z,"Animal # 30.70
Plant # 0.00",13.9252744,0,18.48789,-66.88491,IBL,,passenger,NA,Animal_IBL
TK:3789:25,Florida,IBL 25-011,2024-12-26T09:20:00Z,Data provided by CBP,NA,NA,24.55196,-81.76866,IBL,,passenger,NA,Animal_IBL
TK:1349:25,Puerto Rico,IBL 25-011,2024-10-20T23:00:00Z,"Animal # 0.0
Plant # 0.5",0,0.226796,18.01284,-67.17008,IBL,,passenger,NA,Animal_IBL
TK:3787:25,Florida,IBL 25-010,2024-12-10T23:00:00Z,Data provided by CBP,NA,NA,25.90689,-80.12461,IBL,,passenger,NA,Animal_IBL
TK:1348:25,Puerto Rico,IBL 25-010,2024-10-19T23:00:00Z,"Animal # 0.0
Plant # 0.0",0,0,18.01276,-67.17018,IBL,,passenger,NA,Animal_IBL
TK:1347:25,Puerto Rico,IBL 25-009,2024-10-16T23:00:00Z,"Animal # 0.0 
Plant # 0.0",0,0,18.2921,-67.19836,IBL,,passenger,NA,Animal_IBL
TK:3785:25,Florida,IBL 25-009,2024-11-25T17:30:00Z,Data provided by CBP,NA,NA,26.80788,-80.03378,IBL,,passenger,NA,Animal_IBL
TK:1012:25,Puerto Rico,IBL 25-008,2024-10-15T04:00:00Z,"Animal # 12.60
Plant # 11.00",5.7152592,4.9895119999999995,17.9785,-66.6186,IBL,,passenger,NA,Animal_IBL
TK:3783:25,Florida,IBL 25-008,2024-11-24T21:00:00Z,Data provided by CBP,NA,NA,26.54751,-80.04196,IBL,,passenger,NA,Animal_IBL
TK:1322:25,Puerto Rico,IBL 25-007,2024-10-11T23:00:00Z,"Animal # 14.3
Plant # 5",6.4863656,2.26796,18.01292,-67.16993,IBL,,passenger,NA,Animal_IBL
TK:3782:25,Florida,IBL 25-007,2024-11-19T06:00:00Z,Data provided by CBP,NA,NA,26.2606,-80.0963,IBL,,passenger,NA,Animal_IBL
TK:1558:25,Puerto Rico,IBL 25-006,2024-10-09T23:00:00Z,"Animal # 0
Plant # 0",0,0,18.01277,-67.17009,IBL,,passenger,NA,Animal_IBL
TK:3781:25,Florida,IBL 25-006,2024-11-18T19:00:00Z,Data provided by CBP,NA,NA,25.90076,-80.12127,IBL,,passenger,NA,Animal_IBL
TK:3780:25,Florida,IBL 25-006,2024-11-18T19:00:00Z,Data provided by CBP,NA,NA,25.90076,-80.12127,IBL,,passenger,NA,Animal_IBL
TK:1157:25,Puerto Rico,IBL 25-005,2024-10-08T19:00:00Z,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,17.95408,-67.14497,IBL,,passenger,NA,Animal_IBL
TK:3779:25,Florida,IBL 25-005,2024-11-11T18:30:00Z,Data provided by CBP,NA,NA,26.25786,-80.0806,IBL,,passenger,NA,Animal_IBL
TK:1155:25,Puerto Rico,IBL 25-004,2024-10-08T03:00:00Z,"Animal# 11
Plant# 0.5",4.9895119999999995,0.226796,17.95309,-67.21272,IBL,,passenger,NA,Animal_IBL
TK:3778:25,Florida,IBL 25-004,2024-11-11T18:30:00Z,Data provided by CBP,NA,NA,26.51449,-80.05295,IBL,,passenger,NA,Animal_IBL
TK:1095:25,Puerto Rico,IBL 25-003,2024-10-05T03:00:00Z,"Animal # 0.0 pounds
Plant # 0.0 pounds",0,0,18.36626,-67.26914,IBL,,passenger,NA,Animal_IBL
TK:3777:25,Florida,IBL 25-003,2024-10-26T10:45:00Z,Data provided by CBP,NA,NA,26.80788,-80.03378,IBL,,passenger,NA,Animal_IBL
TK:1039:25,Puerto Rico,IBL 25-002,2024-10-02T03:00:00Z,"Animal# 2
Plant# 0.8",0.907184,0.3628736,18.01287,-67.17,IBL,,passenger,NA,Animal_IBL
TK:3776:25,Florida,IBL 25-002,2024-10-15T05:30:00Z,Data provided by CBP,NA,NA,26.51449,-80.05295,IBL,,passenger,NA,Animal_IBL
TK:1028:25,Puerto Rico,IBL 25-001,2024-10-02T03:00:00Z,"Animal #0.0 pounds
Plant #0.0 pounds",0,0,18.09412,-67.93755,IBL,,passenger,NA,Animal_IBL
TK:3725:25,Florida,IBL 25-001,2024-10-08T23:00:00Z,Data provided by CBP,NA,NA,26.50322,-80.05137,IBL,,passenger,NA,Animal_IBL
TK:8631:24,Puerto Rico,IBL 24-092,2024-09-30T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.15822,-67.94834,IBL,,passenger,NA,Animal_IBL
TK:8608:24,Puerto Rico,IBL 24-091,2024-09-28T03:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.44169,-65.88425,IBL,,passenger,NA,Animal_IBL
TK:8553:24,Puerto Rico,IBL 24-090,2024-09-26T03:00:00Z,"ANIMAL #1
PLANT #1",0.453592,0.453592,18.46215,-66.09456,IBL,,passenger,NA,Animal_IBL
TK:8516:24,Puerto Rico,IBL 24-089,2024-09-25T03:00:00Z,"Animal# 7
Plant# 0",3.175144,0,18.08985,-67.1993,IBL,,passenger,NA,Animal_IBL
TK:8489:24,Puerto Rico,IBL 24-088,2024-09-24T03:00:00Z,"Animal# 10.0 pounds
Plant# 3.5 pounds",4.53592,1.587572,17.97796,-66.61871,IBL,,passenger,NA,Animal_IBL
TK:8469:24,Puerto Rico,IBL 24-087,2024-09-21T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.51274,-67.03988,IBL,,passenger,NA,Animal_IBL
TK:8468:24,Puerto Rico,IBL 24-086,2024-09-21T03:00:00Z,"Animal# 15.2
Plant# 1",6.8945984,0.453592,18.35976,-67.27043,IBL,,passenger,NA,Animal_IBL
TK:8449:24,Puerto Rico,IBL 24-085,2024-09-20T03:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.49217,-66.63136,IBL,,passenger,NA,Animal_IBL
TK:8414:24,Puerto Rico,IBL 24-084,2024-09-18T19:00:00Z,"ANIMAL # 5
PLANT # 4",2.26796,1.814368,18.42985,-65.8336,IBL,,passenger,NA,Animal_IBL
TK:8369:24,Puerto Rico,IBL 24-083,2024-09-17T03:00:00Z,"Animal# 9
Plant# 0.8",4.082328,0.3628736,18.51471,-67.10181,IBL,,passenger,NA,Animal_IBL
TK:8360:24,Puerto Rico,IBl 24-082,2024-09-17T03:00:00Z,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,18.47776,-67.16881,IBL,,passenger,NA,Animal_IBL
TK:8354:24,Puerto Rico,IBL 24-081,2024-09-16T03:00:00Z,"Animal: 0.0 pounds
Plants: 0.0 pounds",0,0,18.15962,-67.9488,IBL,,passenger,NA,Animal_IBL
TK:8197:24,Puerto Rico,IBL 24-080,2024-09-10T03:00:00Z,"Animal: 24.0 pounds
Plant: 0.25 pounds",10.886208,0.113398,18.37673,-67.23615,IBL,,passenger,NA,Animal_IBL
TK:8088:24,Puerto Rico,IBL 24-079,2024-09-02T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.2885,-65.28083,IBL,,passenger,NA,Animal_IBL
TK:8044:24,Puerto Rico,IBL 24-078,2024-08-28T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.13901,-65.51243,IBL,,passenger,NA,Animal_IBL
TK:8031:24,Puerto Rico,IBL 24-077,2024-08-29T03:00:00Z,"Animal # 18.0 pounds
Plants # 8.0 pounds",8.164656,3.628736,17.96941,-66.61238,IBL,,passenger,NA,Animal_IBL
TK:7986:24,Puerto Rico,IBL 24-076,2024-08-26T03:00:00Z,"Animal# 7
Plant# 0",3.175144,0,18.28738,-67.19408,IBL,,passenger,NA,Animal_IBL
TK:7961:24,Puerto Rico,IBL 24-075,2024-08-22T03:00:00Z,"Animal# 11
Plant# 3.5",4.9895119999999995,1.587572,18.4839,-67.16662,IBL,,passenger,NA,Animal_IBL
TK:7821:24,Puerto Rico,IBL 24-074,2024-08-11T03:00:00Z,"ANIMAL # 5
PLANT #0",2.26796,0,18.40694,-65.79757,IBL,,passenger,NA,Animal_IBL
TK:7817:24,Puerto Rico,IBL 24-073,2024-08-11T03:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.51347,-67.04283,IBL,,passenger,NA,Animal_IBL
TK:7816:24,Puerto Rico,IBL 24-072,2024-08-10T03:00:00Z,"ANIMAL # 0
PLANT # 14",0,6.350288,18.23185,-65.62201,IBL,,passenger,NA,Animal_IBL
TK:7629:24,Puerto Rico,IBL 24-071,2024-08-06T03:00:00Z,"Animal: 3.75 pounds
Plants: 0.0 pounds",1.7009699999999999,0,18.37264,-67.25038,IBL,,passenger,NA,Animal_IBL
TK:7585:24,Puerto Rico,IBL 24-070,2024-07-31T03:00:00Z,"Animal# 2
Plant# 0.7",0.907184,0.3175144,18.01291,-67.16989,IBL,,passenger,NA,Animal_IBL
TK:7545:24,Puerto Rico,IBL 24-069,2024-07-28T03:00:00Z,"Animal# 6
Plant# 4.2",2.721552,1.9050864,18.40083,-67.18666,IBL,,passenger,NA,Animal_IBL
TK:7430:24,Puerto Rico,IBL 24-068,2024-07-17T03:00:00Z,"ANIMAL #20
PLANT #9",9.07184,4.082328,17.99441,-65.8803,IBL,,passenger,NA,Animal_IBL
TK:7343:24,Puerto Rico,IBL 24-067,2024-07-14T03:00:00Z,"Animal# 3.5pounds
Plant#0.0 pounds",1.587572,0,18.38957,-67.20295,IBL,,passenger,NA,Animal_IBL
TK:7274:24,Puerto Rico,IBL 24-066,2024-07-07T03:00:00Z,"Animal#0
Plant#0",0,0,18.13811,-65.51233,IBL,,passenger,NA,Animal_IBL
TK:7160:24,Puerto Rico,IBL 24-065,2024-06-28T03:00:00Z,"Animal# 0.75 pounds
Plant# 2.0 pounds",0.340194,0.907184,18.50679,-67.13912,IBL,,passenger,NA,Animal_IBL
TK:6949:24,Puerto Rico,IBL 24-064,2024-06-17T03:00:00Z,"Animal#0
Plant#0",0,0,18.51062,-67.03236,IBL,,passenger,NA,Animal_IBL
TK:6877:24,Puerto Rico,IBL 24-063,2024-06-14T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.08906,-67.93813,IBL,,passenger,NA,Animal_IBL
TK:6852:24,Puerto Rico,IBL 24-062,2024-06-13T03:00:00Z,"Animal# 26
Plant# 3",11.793392,1.360776,18.49006,-67.1572,IBL,,passenger,NA,Animal_IBL
TK:6767:24,Puerto Rico,IBL 24-061,2024-06-10T03:00:00Z,"Animal # 9.0 pounds
Plant # 1.2 pounds",4.082328,0.5443104,18.51304,-67.11352,IBL,,passenger,NA,Animal_IBL
TK:6750:24,Puerto Rico,IBL 24-060,2024-06-07T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.23202,-65.62184,IBL,,passenger,NA,Animal_IBL
TK:6487:24,Puerto Rico,IBL 24-059,2024-05-27T03:00:00Z,"Animal# 27
Plant# 3",12.246984,1.360776,18.36372,-67.27043,IBL,,passenger,NA,Animal_IBL
TK:6480:24,Puerto Rico,IBL 24-058,2024-05-25T03:00:00Z,"Animal: 0.0 pounds
Plant 0.0 pounds",0,0,18.34751,-67.26327,IBL,,passenger,NA,Animal_IBL
TK:1082:25,Florida,IBL 24-057,2024-09-24T06:15:00Z,NA,NA,NA,26.77844,-80.0352,IBL,,passenger,NA,Animal_IBL
TK:6353:24,Puerto Rico,IBL 24-057,2024-05-20T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.30491,-65.24473,IBL,,passenger,NA,Animal_IBL
TK:8393:24,Florida,IBL 24-056,2024-09-16T23:40:00Z,NA,NA,NA,24.69211,-81.08721,IBL,,passenger,NA,Animal_IBL
TK:6333:24,Puerto Rico,IBL 24-056,2024-05-18T03:00:00Z,"Animal: 0.0 pounds
Plant: 3.5 pounds",0,1.587572,18.36453,-67.26994,IBL,,passenger,NA,Animal_IBL
TK:6300:24,Puerto Rico,IBL 24-055,2024-05-16T03:00:00Z,"Animal # 25.0 pounds
Plant 0.66 pounds",11.3398,0.29937072000000003,18.509,-67.02768,IBL,,passenger,NA,Animal_IBL
TK:8392:24,Florida,IBL 24-055,2024-09-15T20:15:00Z,NA,NA,NA,26.54215,-80.04382,IBL,,passenger,NA,Animal_IBL
TK:6284:24,Puerto Rico,IBL 24-054,2024-05-14T19:00:00Z,"ANIMAL #30
PLANT #16",13.607759999999999,7.257472,18.51536,-67.09767,IBL,,passenger,NA,Animal_IBL
TK:8391:24,Florida,IBL 24-054,2024-08-30T05:00:00Z,NA,NA,NA,26.44779,-80.05982,IBL,,passenger,NA,Animal_IBL
TK:6246:24,Puerto Rico,IBL 24-053,2024-05-14T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.48595,-66.67685,IBL,,passenger,NA,Animal_IBL
TK:8388:24,Florida,IBL 24-053,2024-08-21T00:00:00Z,NA,NA,NA,24.68092,-81.23107,IBL,,passenger,NA,Animal_IBL
TK:8385:24,Florida,IBL 24-052,2024-08-18T21:00:00Z,NA,NA,NA,25.18728,-80.35281,IBL,,passenger,NA,Animal_IBL
TK:6235:24,Puerto Rico,IBL 24-052,2024-05-12T03:00:00Z,"ANIMAL #25
PLANT #20",11.3398,9.07184,18.23074,-65.62148,IBL,,passenger,NA,Animal_IBL
TK:8383:24,Florida,IBL 24-051,2024-08-11T16:30:00Z,NA,NA,NA,26.77112,-80.03456,IBL,,passenger,NA,Animal_IBL
TK:6175:24,Puerto Rico,IBL 24-051,2024-05-07T03:00:00Z,"Animal# 4.7
Plant# 2",2.1318824,0.907184,17.96114,-67.21398,IBL,,passenger,NA,Animal_IBL
TK:6134:24,Puerto Rico,IBL 24-050,2024-05-03T03:00:00Z,"ANIMAL # 10.00
PLANT # 16.00",4.53592,7.257472,18.48858,-66.42295,IBL,,passenger,NA,Animal_IBL
TK:7960:24,Florida,IBL 24-050,2024-08-10T21:00:00Z,NA,NA,NA,25.96327,-80.11962,IBL,,passenger,NA,Animal_IBL
TK:5981:24,Puerto Rico,IBL 24-049,2024-04-28T03:00:00Z,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,18.37385,-67.24577,IBL,,passenger,NA,Animal_IBL
TK:7959:24,Florida,IBL 24-049,2024-08-01T04:15:00Z,NA,NA,NA,24.55028,-81.77625,IBL,,passenger,NA,Animal_IBL
